NetworkType	Seed	N	Mean_Error	Stdev_Error
BA	0	200	1.52620919e-03	7.04535483e-03
BA	0	300	1.85411923e-03	8.07300746e-03
BA	0	400	1.35441986e-03	6.55147887e-03
BA	0	500	1.62009461e-03	6.72330279e-03
BA	0	600	1.28653996e-03	5.68747223e-03
BA	0	700	2.01325927e-03	7.94709008e-03
BA	0	800	2.09871248e-03	8.85669884e-03
BA	0	900	2.23962957e-03	7.65362267e-03
BA	0	1000	1.67750070e-03	6.89248869e-03
BA	0	2000	1.62474649e-03	5.91280890e-03
BA	0	200	1.52620919e-03	7.04535483e-03
BA	0	300	1.85411923e-03	8.07300746e-03
BA	0	400	1.35441986e-03	6.55147887e-03
BA	0	500	1.62009461e-03	6.72330279e-03
BA	0	600	1.28653996e-03	5.68747223e-03
BA	0	700	2.01325927e-03	7.94709008e-03
BA	0	800	2.09871248e-03	8.85669884e-03
BA	0	900	2.23962957e-03	7.65362267e-03
BA	0	1000	1.67750070e-03	6.89248869e-03
BA	0	200	1.52620919e-03	7.04535483e-03
BA	0	300	1.85411923e-03	8.07300746e-03
BA	0	400	1.35441986e-03	6.55147887e-03
BA	0	500	1.62009461e-03	6.72330279e-03
BA	0	600	1.28653996e-03	5.68747223e-03
BA	0	700	2.01325927e-03	7.94709008e-03
BA	0	800	2.09871248e-03	8.85669884e-03
BA	0	900	2.23962957e-03	7.65362267e-03
BA	0	1000	1.67750070e-03	6.89248869e-03
BA	0	200	1.52620919e-03	7.04535483e-03
BA	0	300	1.85411923e-03	8.07300746e-03
BA	0	400	1.35441986e-03	6.55147887e-03
BA	0	500	1.62009461e-03	6.72330279e-03
BA	0	600	1.28653996e-03	5.68747223e-03
BA	42	10	4.32363760e-03	1.41184616e-02
BA	42	100	1.27299808e-01	4.46556406e-02
BA	42	200	1.70966531e-03	7.28145222e-03
BA	42	300	1.58963375e-03	6.06882879e-03
BA	42	400	2.55566198e-03	1.07398985e-02
BA	42	500	1.46960322e-03	8.12588761e-03
BA	42	600	2.14142138e-03	7.96925940e-03
BA	42	700	1.72922986e-03	7.88255669e-03
BA	42	800	2.36728688e-03	1.08711138e-02
BA	42	900	2.22825366e-03	1.03925587e-02
BA	42	1000	2.06091939e-03	1.02589784e-02
BA	42	2000	1.19252669e-03	5.35782048e-03
BA	100	10	2.06977568e-03	8.83163307e-03
BA	100	100	2.17214532e-03	9.48155500e-03
BA	100	200	1.83873600e-03	6.79519654e-03
BA	100	300	1.56213330e-03	5.91628692e-03
BA	100	400	2.26002917e-03	8.92120766e-03
BA	100	500	2.12484041e-03	9.13158266e-03
BA	100	600	2.20021143e-03	8.69994648e-03
BA	100	700	3.10479869e-03	1.36857356e-02
BA	100	800	1.90666602e-03	7.84879369e-03
BA	100	900	1.87602691e-03	8.16513118e-03
BA	100	1000	1.43353029e-03	6.23164949e-03
BA	100	2000	1.41059259e-03	6.61823885e-03
BA	100	10	2.06977568e-03	8.83163307e-03
BA	100	100	2.17214532e-03	9.48155500e-03
BA	100	200	1.83873600e-03	6.79519654e-03
