NetworkType	Seed	N	Mean_Error	Stdev_Error
ER	0	10	2.19935752e-03	8.77454698e-03
ER	0	100	1.65152705e-03	5.67642530e-03
ER	0	200	1.34149253e-03	6.33698526e-03
ER	0	300	1.93963885e-03	8.75534848e-03
ER	0	400	2.44968241e-03	1.09610481e-02
ER	0	500	1.40625603e-03	6.65419443e-03
ER	0	600	2.24479021e-03	9.68011151e-03
ER	0	700	1.75077571e-03	7.49913239e-03
ER	0	800	1.63810362e-03	8.41551339e-03
ER	0	900	1.72531116e-03	8.62036565e-03
ER	0	1000	1.98527489e-03	8.09404228e-03
ER	0	2000	1.41297152e-03	6.53976079e-03
ER	42	10	9.68362154e-04	4.33992240e-03
ER	42	100	1.07314960e-03	4.85487958e-03
ER	42	200	1.48022836e-03	7.18433267e-03
ER	42	300	1.88963267e-03	8.49340126e-03
ER	42	400	2.12579652e-03	9.53398594e-03
ER	42	500	1.34387059e-03	6.05278995e-03
ER	42	600	1.34063680e-03	6.70851764e-03
ER	42	700	1.42318400e-03	6.43295253e-03
ER	42	800	1.94323492e-03	7.77692042e-03
ER	42	900	1.69063976e-03	7.91431322e-03
ER	42	1000	1.65503957e-03	8.25218926e-03
ER	42	2000	1.19363107e-03	7.57091868e-03
ER	100	10	1.58056448e-03	7.63181599e-03
ER	100	100	2.39407551e-03	1.08088306e-02
ER	100	200	2.03563795e-03	8.07915672e-03
ER	100	300	1.81115491e-03	9.96866768e-03
ER	100	400	1.66179277e-03	7.38289266e-03
ER	100	500	2.26898619e-03	1.09297774e-02
ER	100	600	2.85053027e-03	1.06935604e-02
ER	100	700	1.96974165e-03	9.04033785e-03
ER	100	800	1.47899292e-03	6.34907116e-03
ER	100	900	1.48499662e-03	6.66117168e-03
ER	100	1000	1.90715365e-03	1.14741028e-02
ER	100	2000	1.69470751e-03	8.38701218e-03
